"node_id","module","layer_id","flow","type","species"
228,1,7,1.81661e-05,"pollinator","Rondania_insularis"
229,1,2,1.69712e-05,"pollinator","Sapromyza_sp."
230,30,1,4.78439e-05,"pollinator","Sarcophaga_sp._1"
231,30,1,3.51065e-05,"pollinator","Sarcophagidae_sp."
232,1,1,7.64239e-05,"pollinator","Sarcophagidae_sp._2"
233,1,7,1.81661e-05,"pollinator","Sarcophagidae_sp._3"
234,57,2,0.000379124,"pollinator","Sarcophagidae_sp._4"
235,39,2,0.00110643,"pollinator","Sarcophagidae_sp._5"
235,39,3,0.00105823,"pollinator","Sarcophagidae_sp._5"
235,39,4,0.00110005,"pollinator","Sarcophagidae_sp._5"
235,39,6,0.00101349,"pollinator","Sarcophagidae_sp._5"
236,3,2,5.09648e-05,"pollinator","Sarcophagidae_sp._6"
237,1,1,8.91613e-05,"pollinator","Sarcophagidae_sp._7"
238,63,4,0.000445795,"pollinator","Sarcophagidae_sp._8"
238,63,6,0.0004343,"pollinator","Sarcophagidae_sp._8"
239,53,3,0.000653605,"pollinator","Scaeva_albomaculata"
239,53,6,0.000764175,"pollinator","Scaeva_albomaculata"
239,53,7,0.000634022,"pollinator","Scaeva_albomaculata"
240,1,2,8.48561e-06,"pollinator","Scaptomyza_sp._2"
241,72,4,0.000269905,"pollinator","Scenopinus_sp."
241,72,5,0.000256816,"pollinator","Scenopinus_sp."
242,26,1,0.00241385,"pollinator","Sciaridae_sp."
242,26,2,0.00181989,"pollinator","Sciaridae_sp."
242,26,5,0.00162367,"pollinator","Sciaridae_sp."
242,26,7,0.00153216,"pollinator","Sciaridae_sp."
243,48,4,0.000785906,"pollinator","Sciaridae_sp._1"
243,48,6,0.000770358,"pollinator","Sciaridae_sp._1"
243,48,7,0.000893144,"pollinator","Sciaridae_sp._1"
244,4,1,0.000598104,"pollinator","Sciaridae_sp._4"
245,9,6,2.04043e-05,"pollinator","Scymnus_canariensis"
246,4,3,2.09117e-05,"pollinator","Sepsis_sp."
247,1,4,2.32974e-05,"pollinator","Sibinia_sericea"
248,27,7,0.000303145,"pollinator","Spathulina_sicula"
249,22,4,6.12385e-05,"pollinator","Sphaeniscus_filiolus"
250,3,1,9.77309e-05,"pollinator","Sphecidae_sp."
251,1,3,8.89779e-06,"pollinator","Stenoselma_sp."
252,22,4,6.12385e-05,"pollinator","Stomorhina_lunata"
253,6,4,0.000139439,"pollinator","Synthesomyia_nudiseta"
254,31,4,0.000926394,"pollinator","Syritta_pipiens"
254,31,5,0.00148851,"pollinator","Syritta_pipiens"
254,31,7,0.00088543,"pollinator","Syritta_pipiens"
255,56,6,0.00102651,"pollinator","Tachina_canariensis"
255,56,7,0.000583686,"pollinator","Tachina_canariensis"
256,1,1,1.27373e-05,"pollinator","Tachinidae_sp._1"
257,1,2,8.48561e-06,"pollinator","Tachyagetes_aemulans"
258,4,1,0.0017127,"pollinator","Tapinoma_nigerrimum"
259,3,1,0.000195462,"pollinator","Tephritidae_sp._1"
260,4,5,1.33601e-05,"pollinator","Tethina_marmorata"
261,44,1,0.00052837,"pollinator","Tethinidae_sp._1"
262,44,1,0.00066915,"pollinator","Tethinidae_sp._2"
263,1,2,8.48561e-06,"pollinator","Tethinidae_sp._3"
264,52,2,0.000129209,"pollinator","Tetramesa_sp."
265,19,7,0.000147978,"pollinator","Thaumatomyia_notata"
266,29,4,0.00208359,"pollinator","Themnothorax_hesperius"
266,29,5,0.00119373,"pollinator","Themnothorax_hesperius"
267,1,1,5.09493e-05,"pollinator","Themnothorax_productus"
268,45,3,0.000261795,"pollinator","Themnothorax_risii"
269,10,6,6.94524e-05,"pollinator","Thomisus_cf._globosum"
270,42,3,0.000915506,"pollinator","Thomisus_cf._onustus"
270,42,5,0.000954366,"pollinator","Thomisus_cf._onustus"
270,42,6,0.000983608,"pollinator","Thomisus_cf._onustus"
270,42,7,0.000938595,"pollinator","Thomisus_cf._onustus"
