"module","node_id","layer_id","flow","type","species","size_of_module"
16,136,3,7.39445e-05,"pollinator","Eristalinus_taeniops",14
16,40,3,7.39445e-05,"pollinator","Agromyzidae_sp._1",14
16,159,3,0.000591556,"pollinator","Hylaeus_hohmanni",14
16,235,3,0.00015414,"pollinator","Sarcophagidae_sp._5",14
16,179,3,7.39445e-05,"pollinator","Melecta_curvispina",14
16,52,3,0.000602233,"pollinator","Andrena_vulcana",14
16,149,3,7.39445e-05,"pollinator","Exhyalanthrax_canarionae",14
16,139,3,0.000302845,"pollinator","Eucera_gracilipes",14
16,11,3,0.00830075,"plant","Euphorbia.regis.jubae",14
16,85,3,7.39445e-05,"pollinator","Bombylius_pintuarius",14
16,199,3,0.000787051,"pollinator","Oscinella_sp._1",14
16,239,3,0.000147889,"pollinator","Scaeva_albomaculata",14
16,170,3,0.000740156,"pollinator","Lucilia_sericata",14
16,151,3,7.39445e-05,"pollinator","Gasteruption_sp.",14
17,211,5,0.000264637,"pollinator","Phthiria_simonyi",13
17,166,5,0.000426367,"pollinator","Leptochilus_cruentatus",13
17,5,5,0.0011132,"plant","Ceballosia.fruticosa",13
17,30,5,0.00304594,"plant","Parolinia.intermedia",13
17,126,6,0.000745328,"pollinator","Dasytes_subaenescens",13
17,211,7,0.000304172,"pollinator","Phthiria_simonyi",13
17,126,7,0.000485449,"pollinator","Dasytes_subaenescens",13
17,126,5,0.000651234,"pollinator","Dasytes_subaenescens",13
17,5,7,0.00139591,"plant","Ceballosia.fruticosa",13
17,138,5,0.000440504,"pollinator","Estheria_simonyi",13
17,208,7,0.000130981,"pollinator","Perilampus_sp._1",13
17,254,5,0.000583115,"pollinator","Syritta_pipiens",13
17,181,5,0.000696762,"pollinator","Meligethes_canariensis",13
18,55,6,0.00245572,"pollinator","Anthophora_alluaudi",6
18,4,6,0.00203468,"plant","Asphaltklee.bituminosa",6
18,12,6,0.00336351,"plant","Fagonia.albiflora",6
18,98,6,0.000997172,"pollinator","Chalicodoma_canescens",6
