"estimate","p_val","statistic","confidence_int_low","confidence_int_high","slope","intercept","rsquared","trial_num"
-0.882797689058867,1.17714704026192e-07,-8.19158745653029,-0.951771773077156,-0.728882121637106,-0.000883911738678017,0.474548953155849,0.779331759807678,278
-0.856925158035613,7.04846153861807e-07,-7.24670956950254,-0.940645343807401,-0.674899345938691,-0.000840957601565594,0.467372967937705,0.734320726474355,279
-0.798369280488458,1.43934736334258e-05,-5.77913488121538,-0.91478095403849,-0.559517758094023,-0.000897726317397994,0.478707399837454,0.637393508027658,280
-0.815618010439382,6.61494136727208e-06,-6.14457880144383,-0.92250027358062,-0.592570151789326,-0.000908498969890995,0.476863554566325,0.665232738953095,281
-0.790045655036401,2.0410841683305e-05,-5.61738903497275,-0.911025220189275,-0.543835051287118,-0.000795042128971405,0.456825503935982,0.624172137041895,282
-0.847653616933726,1.23210318186071e-06,-6.96416204281983,-0.936613850679305,-0.656017224371519,-0.000871270552169452,0.475770891833844,0.718516654300825,283
-0.807525389506057,9.61794088326162e-06,-5.96765981762885,-0.918889199793226,-0.576968799706884,-0.000896901359602695,0.474488225089391,0.652097254696906,284
-0.846164201371803,1.34316665346987e-06,-6.92097977713466,-0.93596401273955,-0.653006128563922,-0.000964671460108404,0.494810143794821,0.715993855683177,285
-0.848864309844844,1.14785525400053e-06,-6.99969373752581,-0.937141630226879,-0.658469340062535,-0.000869222787143696,0.478650159964467,0.720570616528367,286
-0.846303299290891,1.33243462011354e-06,-6.92498822206812,-0.936024727625878,-0.653287079350822,-0.000853396724813534,0.465139750858038,0.71622927439065,287
-0.776375471150689,3.5076669191153e-05,-5.36934739002589,-0.904813183211008,-0.51844660300756,-0.000750654965569467,0.442981980862264,0.602758872204449,288
-0.828131179405579,3.57392915049796e-06,-6.43981973276581,-0.928047288156571,-0.617027633650518,-0.000875767272488322,0.483195675259547,0.685801250303672,289
-0.842916626300134,1.61629909014703e-06,-6.8287854272377,-0.934544958364117,-0.646461732930849,-0.000900622233158942,0.487972289253221,0.710508438893195,290
-0.864637384198667,4.29690986525338e-07,-7.50177867301394,-0.943980904775621,-0.69078955068859,-0.000820904580305018,0.469476136524335,0.74759780615391,291
-0.795583625492212,1.62066978277116e-05,-5.72403100638154,-0.913526265047285,-0.554250139629223,-0.000822981506178573,0.473528399145594,0.632953305151329,292
-0.842364746057084,1.66726654109216e-06,-6.81337826206685,-0.934303519745533,-0.645352470285078,-0.000787644626513103,0.450548258956502,0.709578365399809,293
-0.799248149268991,1.38594062063926e-05,-5.79673075158468,-0.915176340422094,-0.561183695518598,-0.000822083491693194,0.466210960122831,0.638797604109904,294
-0.833416027236534,2.7150951414689e-06,-6.57342223020089,-0.930376793019433,-0.627481037818529,-0.000807476600786045,0.465991802891234,0.694582274454726,295
-0.849985659604165,1.07438514467548e-06,-7.03295485689466,-0.937630102238914,-0.660744113339619,-0.000800138403055156,0.458761851974962,0.722475621532725,296
-0.795024247144526,1.6593884834114e-05,-5.71308610923351,-0.913274044160628,-0.553194691816121,-0.000802998057590719,0.459444491398056,0.63206355354772,297
-0.835001624254046,2.49557759076782e-06,-6.61463766877002,-0.931074183690953,-0.630631885920202,-0.000947577253798679,0.481941837087559,0.697227712506896,298
-0.850981417372473,1.01264296868384e-06,-7.0627792686534,-0.938063575106796,-0.662767028475919,-0.000864321622053968,0.487992582903625,0.724169372713264,299
-0.848142647453019,1.19744085518303e-06,-6.97846726278559,-0.936827083251271,-0.657007211211631,-0.000924827973214541,0.484832838973912,0.719345950428613,300
-0.863866506725737,4.5208575443844e-07,-7.47538457440068,-0.943648225636857,-0.68919365164461,-0.000862532994273271,0.477251137668335,0.746265341442525,301
-0.825145351521918,4.15749614178169e-06,-6.36678139237726,-0.926727702080046,-0.611154433179577,-0.000824760324892062,0.476244568302432,0.680864851138225,302
-0.841602696880981,1.73996155844426e-06,-6.79222488066791,-0.933969996936699,-0.643822138956096,-0.000936596634073839,0.503034899491163,0.70829509939734,303
-0.834634062753358,2.54502760663671e-06,-6.60503541920993,-0.93091258217697,-0.629900878996512,-0.000953370340672703,0.49333907705999,0.696614018708177,304
-0.863232781393609,4.71259633360165e-07,-7.45384159571238,-0.943374614933129,-0.687882958066953,-0.000892357616720387,0.483128587611618,0.745170834872543,305
-0.82414656023934,4.37051193846716e-06,-6.34272602915626,-0.926285726422551,-0.609195030638665,-0.00078666726773147,0.462565806559963,0.679217552754334,306
-0.831617363195775,2.98445145261003e-06,-6.5273112139823,-0.929584838963611,-0.623914935942553,-0.000899646365297849,0.485432470507851,0.691587438768688,307
-0.816849828038988,6.23875104387603e-06,-6.17242527551745,-0.923048297149761,-0.594959675947057,-0.000848570333573471,0.469228492510283,0.667243641567321,308
-0.895248784770027,4.25847917598953e-08,-8.75805951786094,-0.957062448871976,-0.755561728863235,-0.000873228153423832,0.484372262696911,0.801470386632204,309
-0.860809159423011,5.5136249898778e-07,-7.37271478728486,-0.942327210052224,-0.682880863648957,-0.000817248064839547,0.462911202510135,0.740992408946551,310
-0.84800655225273,1.20700008049629e-06,-6.97447981665809,-0.936767748113962,-0.656731635693388,-0.000892686940619342,0.464938038363391,0.719115112663561,311
-0.824416265908797,4.3120694947898e-06,-6.34920345897181,-0.926405101724287,-0.609723873607967,-0.000820008963887214,0.463710347784886,0.679662179495002,312
-0.834029892992037,2.62817865141224e-06,-6.5893150891252,-0.930646871916507,-0.628700092782699,-0.000852722665131353,0.4678947345816,0.695605862404302,313
-0.837731371920253,2.1539485659485e-06,-6.68687620557484,-0.932273161776213,-0.6360721836513,-0.000847492007266123,0.471001995630071,0.701793851499389,314
-0.847905826781636,1.21411808651128e-06,-6.97153183002165,-0.936723830276116,-0.656527712279909,-0.000830275168553775,0.457594731307611,0.718944291090248,315
-0.821232974428666,5.04748957758188e-06,-6.27359848328611,-0.924994826432007,-0.603494189894336,-0.000898321660945226,0.484724880417589,0.674423598288951,316
-0.825124521431416,4.16184404132605e-06,-6.36627780954548,-0.926718487415051,-0.611113542457987,-0.000820654441140975,0.480754783051134,0.680830475867428,317
-0.825663250042959,4.05066570662129e-06,-6.37932819565583,-0.926956767007003,-0.612171466536607,-0.000848705844214751,0.479384450790291,0.681719802471499,318
-0.826973514403441,3.79105413019659e-06,-6.41129827144133,-0.927535955875911,-0.61474768185996,-0.000815095506325228,0.461345749978439,0.683885193524776,319
-0.836509257205204,2.30145395847477e-06,-6.65433111867817,-0.931736633019342,-0.633634067899249,-0.000848424766461737,0.463355910248095,0.699747737390004,320
-0.849370226663589,1.11417861020252e-06,-7.01465783822383,-0.937362055874439,-0.659495213827913,-0.000898745743293207,0.483673866700398,0.721429781942557,321
-0.827478193680432,3.69501863746737e-06,-6.42370011679233,-0.927758915369907,-0.615741181552228,-0.000812187565539353,0.467120919409942,0.684720161016633,322
-0.797254681445439,1.5096542171358e-05,-5.7569657974181,-0.914279196056615,-0.557407755059822,-0.000796897226716577,0.460597132099931,0.635615027086667,323
-0.837766989043096,2.14977712949083e-06,-6.68782971706834,-0.932288792052676,-0.636143300157647,-0.000923644521058062,0.498434011998456,0.701853527930336,324
-0.82762134388673,3.66816963547013e-06,-6.42722682338776,-0.927822143885003,-0.616023106279806,-0.000831955590834784,0.472348114214125,0.684957088856879,325
-0.805119608796682,1.07142444767795e-05,-5.91698054343785,-0.917812086608121,-0.572363034130685,-0.000772342330329359,0.442339847736066,0.648217584468917,326
-0.838407516359727,2.07595981554138e-06,-6.70502639932006,-0.932569821866344,-0.637422822447387,-0.00081702512204163,0.45258738520107,0.702927163488481,327
-0.850546297559272,1.03922785070754e-06,-7.04971308832532,-0.937874192457127,-0.661882729992491,-0.000881164535374972,0.489147734987807,0.723429004291784,328
-0.801336953793456,1.26588946133109e-05,-5.83896600509308,-0.916115159476627,-0.565150878646956,-0.000788798523423648,0.451719415950774,0.642140913514972,329
-0.827902657949418,3.61590448392755e-06,-6.43416899718244,-0.927946381703661,-0.616577293431912,-0.000908626024747502,0.493752991745449,0.68542281103971,330
-0.796585441058373,1.55329181638081e-05,-5.74373256570383,-0.913977752120842,-0.556142329660933,-0.000860018259260549,0.472964181962599,0.634548364906167,331
-0.851292794277314,9.93987398550684e-07,-7.07216192697127,-0.938199067642916,-0.66340016537946,-0.000841507313255958,0.468144301951307,0.724699421588475,332
-0.808811260610766,9.07319309769649e-06,-5.99509691528404,-0.919464228390735,-0.579436573368122,-0.000827918223566757,0.476778770102467,0.654175655290775,333
-0.851312012581312,9.92845936877893e-07,-7.07274191614831,-0.938207429422351,-0.663439251653268,-0.000968375321223327,0.48661396778816,0.724732142765242,334
-0.812683732792761,7.59199514747838e-06,-6.07924436880395,-0.921193104220557,-0.586893903230218,-0.000857952208359088,0.478939221503827,0.660454849545972,335
-0.809462105542406,8.80789100851311e-06,-6.00907875295329,-0.919755099360592,-0.58068724464663,-0.000793627246248465,0.461598635039995,0.655228900309148,336
-0.841207126568469,1.77878252701328e-06,-6.78129935536445,-0.933796805898267,-0.643028386196063,-0.000839154187305865,0.466441343584432,0.707629429789577,337
-0.830946095034459,3.09081984781088e-06,-6.51027402674218,-0.929289046802928,-0.622586266135661,-0.000847645204311256,0.465740839432356,0.690471412853013,338
-0.825691753596133,4.04485655239408e-06,-6.38002020115597,-0.926969371848858,-0.612227461462508,-0.000848243232492847,0.4674165375016,0.681766871956661,339
-0.858504036437302,6.38432651729799e-07,-7.29735311579364,-0.941329532599075,-0.67813876858668,-0.000947858794926404,0.496046263083104,0.737029180579142,340
-0.835757264549297,2.39655731419617e-06,-6.63447020731703,-0.931406288943196,-0.632135844547345,-0.000879174859809575,0.483261371410539,0.698490205246923,341
-0.831480227798819,3.00591702584889e-06,-6.52382312554508,-0.929524420944283,-0.623643400349626,-0.000809454757395404,0.454970333067926,0.691359369220375,342
-0.834426261059801,2.57336285815402e-06,-6.59961964647143,-0.930821203726884,-0.629487763083537,-0.000886997919658462,0.482072822258801,0.69626718514624,343
-0.829770047350345,3.28520496175693e-06,-6.48064613373932,-0.928770520894098,-0.620261356999713,-0.000850973967690865,0.469299621357784,0.688518331479795,344
-0.815894924224894,6.52868812262594e-06,-6.15081682105154,-0.922623507364162,-0.593106977301198,-0.00080854680763053,0.464675597114213,0.665684527375946,345
-0.839661225826217,1.93788829741042e-06,-6.73895710764879,-0.93311955373587,-0.639930454366019,-0.000883142903128402,0.479672305836793,0.705030974155982,346
-0.858159002863256,6.52455679348395e-07,-7.2862193038221,-0.941180074379355,-0.677430255995378,-0.00089414130156709,0.489560220766429,0.73643687419526,347
-0.826870413582163,3.81093998033394e-06,-6.40877074321933,-0.927490398721767,-0.614544802831134,-0.000886237579093664,0.48239955916996,0.683714680857535,348
-0.853186461101763,8.86901122135216e-07,-7.12981305356817,-0.939022504525552,-0.667256447001221,-0.000890209702201594,0.488294963826114,0.727927137407359,349
-0.827872083248323,3.62155314865658e-06,-6.43341373843343,-0.927932879956789,-0.616517051294059,-0.000820230791702458,0.453170410677125,0.685372186221919,350
-0.843262628602916,1.58504746764242e-06,-6.83848290797275,-0.934696285723005,-0.647157610979918,-0.000868075496712452,0.476317122582181,0.711091860798295,351
-0.846459872040592,1.32044452787601e-06,-6.92950621904334,-0.93609306371689,-0.653603389509575,-0.000949892140879075,0.481322667722638,0.716494314974972,352
-0.816352039378944,6.3884567256047e-06,-6.16114194619946,-0.922826887745513,-0.5939935750828,-0.000841597588110335,0.471693869081713,0.666430652198161,353
-0.822101451661103,4.83670583764063e-06,-6.29404344568257,-0.925379866668977,-0.605191162317835,-0.000851311938508271,0.473078112667785,0.675850796823296,354
-0.851833242529881,9.62324036589692e-07,-7.08851166571877,-0.938434175050613,-0.664499722646929,-0.000870106014499454,0.48337871279737,0.725619873078974,355
