"","module_sub_module","layer_from","layer_to","distance","num_of_species"
"510","1 . 2",1,2,505.679714,15
"511","1 . 2",11,12,70.701802,9
"512","1 . 2",13,14,93.399466,8
"513","1 . 2",1,2,505.679714,15
"514","1 . 2",11,12,70.701802,9
"515","1 . 2",13,14,93.399466,8
"516","1 . 2",1,2,505.679714,15
"517","1 . 2",11,12,70.701802,9
"518","1 . 2",13,14,93.399466,8
"519","1 . 2",1,2,505.679714,15
"520","1 . 2",11,12,70.701802,9
"521","1 . 2",13,14,93.399466,8
"522","1 . 2",1,2,505.679714,15
"523","1 . 2",11,12,70.701802,9
"524","1 . 2",13,14,93.399466,8
"525","1 . 2",1,2,505.679714,15
"526","1 . 2",11,12,70.701802,9
"527","1 . 2",13,14,93.399466,8
"528","1 . 2",1,2,505.679714,15
"529","1 . 2",11,12,70.701802,9
"530","1 . 2",13,14,93.399466,8
"531","1 . 2",1,2,505.679714,15
"532","1 . 2",11,12,70.701802,9
"533","1 . 2",13,14,93.399466,8
"534","1 . 2",1,2,505.679714,15
"535","1 . 2",11,12,70.701802,9
"536","1 . 2",13,14,93.399466,8
"537","1 . 2",1,2,505.679714,15
"538","1 . 2",11,12,70.701802,9
"539","1 . 2",13,14,93.399466,8
"540","1 . 2",1,2,505.679714,15
"541","1 . 2",11,12,70.701802,9
"542","1 . 2",13,14,93.399466,8
"543","1 . 2",1,2,505.679714,15
"544","1 . 2",11,12,70.701802,9
"545","1 . 2",13,14,93.399466,8
"546","1 . 2",1,2,505.679714,15
"547","1 . 2",11,12,70.701802,9
"548","1 . 2",13,14,93.399466,8
"549","1 . 2",1,2,505.679714,15
"550","1 . 2",11,12,70.701802,9
"551","1 . 2",13,14,93.399466,8
"552","1 . 2",1,2,505.679714,15
"553","1 . 2",11,12,70.701802,9
"554","1 . 2",13,14,93.399466,8
"555","1 . 2",1,2,505.679714,15
"556","1 . 2",11,12,70.701802,9
"557","1 . 2",13,14,93.399466,8
"558","1 . 2",1,2,505.679714,15
"559","1 . 2",11,12,70.701802,9
"560","1 . 2",13,14,93.399466,8
"561","1 . 2",1,2,505.679714,15
"562","1 . 2",11,12,70.701802,9
"563","1 . 2",13,14,93.399466,8
"564","1 . 2",1,2,505.679714,15
"565","1 . 2",11,12,70.701802,9
"566","1 . 2",13,14,93.399466,8
"567","1 . 2",1,2,505.679714,15
"568","1 . 2",11,12,70.701802,9
"569","1 . 2",13,14,93.399466,8
"570","1 . 2",1,2,505.679714,15
"571","1 . 2",11,12,70.701802,9
"572","1 . 2",13,14,93.399466,8
"573","1 . 2",1,2,505.679714,15
"574","1 . 2",11,12,70.701802,9
"575","1 . 2",13,14,93.399466,8
"576","1 . 2",1,2,505.679714,15
"577","1 . 2",11,12,70.701802,9
"578","1 . 2",13,14,93.399466,8
"579","1 . 2",1,2,505.679714,15
"580","1 . 2",11,12,70.701802,9
"581","1 . 2",13,14,93.399466,8
"582","1 . 2",1,2,505.679714,15
"583","1 . 2",11,12,70.701802,9
"584","1 . 2",13,14,93.399466,8
"585","1 . 2",1,2,505.679714,15
"586","1 . 2",11,12,70.701802,9
"587","1 . 2",13,14,93.399466,8
"588","1 . 2",1,2,505.679714,15
"589","1 . 2",11,12,70.701802,9
"590","1 . 2",13,14,93.399466,8
"591","1 . 2",1,2,505.679714,15
"592","1 . 2",11,12,70.701802,9
"593","1 . 2",13,14,93.399466,8
"594","1 . 2",1,2,505.679714,15
"595","1 . 2",11,12,70.701802,9
"596","1 . 2",13,14,93.399466,8
"597","1 . 2",1,2,505.679714,15
"598","1 . 2",11,12,70.701802,9
"599","1 . 2",13,14,93.399466,8
"600","1 . 2",1,2,505.679714,15
"601","1 . 2",11,12,70.701802,9
"602","1 . 2",13,14,93.399466,8
"603","1 . 2",1,2,505.679714,15
"604","1 . 2",11,12,70.701802,9
"605","1 . 2",13,14,93.399466,8
"606","1 . 2",1,2,505.679714,15
"607","1 . 2",11,12,70.701802,9
"608","1 . 2",13,14,93.399466,8
"609","1 . 2",1,2,505.679714,15
"610","1 . 2",11,12,70.701802,9
"611","1 . 2",13,14,93.399466,8
"612","1 . 2",1,2,505.679714,15
"613","1 . 2",11,12,70.701802,9
"614","1 . 2",13,14,93.399466,8
"615","1 . 2",1,2,505.679714,15
"616","1 . 2",11,12,70.701802,9
"617","1 . 2",13,14,93.399466,8
"618","1 . 2",1,2,505.679714,15
"619","1 . 2",11,12,70.701802,9
"620","1 . 2",13,14,93.399466,8
"621","1 . 2",1,2,505.679714,15
"622","1 . 2",11,12,70.701802,9
"623","1 . 2",13,14,93.399466,8
"624","1 . 2",1,2,505.679714,15
"625","1 . 2",11,12,70.701802,9
"626","1 . 2",13,14,93.399466,8
"627","1 . 2",1,2,505.679714,15
"628","1 . 2",11,12,70.701802,9
"629","1 . 2",13,14,93.399466,8
"630","1 . 2",1,2,505.679714,15
"631","1 . 2",11,12,70.701802,9
"632","1 . 2",13,14,93.399466,8
"633","1 . 2",1,2,505.679714,15
"634","1 . 2",11,12,70.701802,9
"635","1 . 2",13,14,93.399466,8
"636","1 . 2",1,2,505.679714,15
"637","1 . 2",11,12,70.701802,9
"638","1 . 2",13,14,93.399466,8
"639","1 . 2",1,2,505.679714,15
"640","1 . 2",11,12,70.701802,9
"641","1 . 2",13,14,93.399466,8
"642","1 . 2",1,2,505.679714,15
"643","1 . 2",11,12,70.701802,9
"644","1 . 2",13,14,93.399466,8
"645","1 . 2",1,2,505.679714,15
"646","1 . 2",11,12,70.701802,9
"647","1 . 2",13,14,93.399466,8
"648","1 . 2",1,2,505.679714,15
"649","1 . 2",11,12,70.701802,9
"650","1 . 2",13,14,93.399466,8
"651","1 . 2",1,2,505.679714,15
"652","1 . 2",11,12,70.701802,9
"653","1 . 2",13,14,93.399466,8
"654","1 . 2",1,2,505.679714,15
