"","layer","node_from","node_to","weight"
"800",12,9,141,0.195402298850575
"801",12,9,163,0.0459770114942529
"802",12,9,165,0.0114942528735632
"803",12,9,216,0.126436781609195
"804",12,9,272,0.241379310344828
"805",12,9,274,0.0689655172413793
"806",12,10,92,0.727272727272727
"807",12,10,101,0.0303030303030303
"808",12,10,148,0.0303030303030303
"809",12,10,163,0.0303030303030303
"810",12,10,187,0.0303030303030303
"811",12,10,238,0.0303030303030303
"812",12,10,255,0.121212121212121
"813",12,12,55,0.2
"814",12,12,56,0.1
"815",12,12,60,0.2
"816",12,12,165,0.3
"817",12,12,239,0.2
"818",12,16,44,0.333333333333333
"819",12,16,55,0.333333333333333
"820",12,16,275,0.333333333333333
"821",12,17,55,0.0227272727272727
"822",12,17,60,0.113636363636364
"823",12,17,62,0.0227272727272727
"824",12,17,92,0.0227272727272727
"825",12,17,138,0.0227272727272727
"826",12,17,165,0.477272727272727
"827",12,17,203,0.0227272727272727
"828",12,17,215,0.0227272727272727
"829",12,17,216,0.113636363636364
"830",12,17,272,0.0227272727272727
"831",12,17,275,0.113636363636364
"832",12,17,284,0.0227272727272727
"833",12,26,44,0.285714285714286
"834",12,26,84,0.285714285714286
"835",12,26,163,0.285714285714286
"836",12,26,165,0.142857142857143
"837",12,31,62,0.171875
"838",12,31,92,0.75
"839",12,31,216,0.0625
"840",12,31,243,0.015625
"841",12,33,60,0.0285714285714286
"842",12,33,92,0.257142857142857
"843",12,33,146,0.0285714285714286
"844",12,33,163,0.0857142857142857
"845",12,33,165,0.0571428571428571
"846",12,33,170,0.0285714285714286
"847",12,33,192,0.0857142857142857
"848",12,33,216,0.0571428571428571
"849",12,33,272,0.0285714285714286
"850",12,33,275,0.314285714285714
"851",12,33,283,0.0285714285714286
"852",12,35,62,0.0769230769230769
"853",12,35,92,0.230769230769231
"854",12,35,143,0.0769230769230769
"855",12,35,163,0.0769230769230769
"856",12,35,197,0.0769230769230769
"857",12,35,216,0.461538461538462
"858",12,36,272,1
"859",13,4,55,0.2
"860",13,4,92,0.1
"861",13,4,114,0.1
"862",13,4,126,0.1
"863",13,4,138,0.1
"864",13,4,139,0.3
"865",13,4,141,0.1
"866",13,5,92,1
"867",13,8,92,0.84375
"868",13,8,129,0.03125
"869",13,8,133,0.03125
"870",13,8,163,0.0625
"871",13,8,165,0.03125
"872",13,9,92,0.592105263157895
"873",13,9,103,0.0131578947368421
"874",13,9,107,0.0263157894736842
"875",13,9,163,0.0921052631578947
"876",13,9,165,0.0263157894736842
"877",13,9,270,0.0131578947368421
"878",13,9,274,0.236842105263158
"879",13,10,55,0.0277777777777778
"880",13,10,92,0.402777777777778
"881",13,10,97,0.0138888888888889
"882",13,10,103,0.0277777777777778
"883",13,10,107,0.0277777777777778
"884",13,10,115,0.0277777777777778
"885",13,10,126,0.0138888888888889
"886",13,10,129,0.0277777777777778
"887",13,10,136,0.0138888888888889
"888",13,10,138,0.125
"889",13,10,139,0.0555555555555556
"890",13,10,141,0.0138888888888889
"891",13,10,163,0.0694444444444444
"892",13,10,165,0.0277777777777778
"893",13,10,169,0.0138888888888889
"894",13,10,170,0.0138888888888889
"895",13,10,190,0.0138888888888889
"896",13,10,191,0.0277777777777778
"897",13,10,209,0.0138888888888889
"898",13,10,239,0.0138888888888889
"899",13,10,255,0.0277777777777778
"900",13,21,98,0.1
"901",13,21,162,0.1
"902",13,21,165,0.1
"903",13,21,176,0.1
"904",13,21,202,0.1
"905",13,21,243,0.1
"906",13,21,275,0.4
"907",13,31,92,0.903225806451613
"908",13,31,127,0.032258064516129
"909",13,31,170,0.032258064516129
"910",13,31,265,0.032258064516129
"911",13,35,92,0.8
"912",13,35,190,0.2
"913",14,4,55,0.375
"914",14,4,92,0.125
"915",14,4,114,0.125
"916",14,4,138,0.25
"917",14,4,288,0.125
"918",14,5,92,0.714285714285714
"919",14,5,208,0.142857142857143
"920",14,5,211,0.142857142857143
"921",14,8,92,0.857142857142857
"922",14,8,107,0.0357142857142857
"923",14,8,138,0.0357142857142857
"924",14,8,190,0.0357142857142857
"925",14,8,226,0.0357142857142857
"926",14,9,92,0.363636363636364
"927",14,9,94,0.0181818181818182
"928",14,9,107,0.0181818181818182
"929",14,9,121,0.0181818181818182
"930",14,9,126,0.0181818181818182
"931",14,9,141,0.0181818181818182
"932",14,9,163,0.0181818181818182
"933",14,9,165,0.0363636363636364
"934",14,9,208,0.0181818181818182
"935",14,9,228,0.0181818181818182
"936",14,9,233,0.0181818181818182
"937",14,9,274,0.436363636363636
"938",14,10,75,0.0105263157894737
"939",14,10,92,0.442105263157895
"940",14,10,96,0.0210526315789474
"941",14,10,103,0.0105263157894737
"942",14,10,111,0.0105263157894737
"943",14,10,115,0.115789473684211
"944",14,10,126,0.0105263157894737
"945",14,10,134,0.0105263157894737
"946",14,10,138,0.0315789473684211
"947",14,10,141,0.0315789473684211
"948",14,10,163,0.0631578947368421
"949",14,10,165,0.0947368421052632
"950",14,10,170,0.0421052631578947
"951",14,10,190,0.0526315789473684
"952",14,10,207,0.0105263157894737
"953",14,10,242,0.0105263157894737
"954",14,10,254,0.0105263157894737
"955",14,10,265,0.0210526315789474
"956",14,31,92,0.934782608695652
"957",14,31,108,0.0217391304347826
"958",14,31,121,0.0217391304347826
"959",14,31,193,0.0217391304347826
"960",14,33,192,0.444444444444444
"961",14,33,210,0.111111111111111
"962",14,33,248,0.222222222222222
"963",14,33,275,0.222222222222222
"964",14,35,92,0.666666666666667
"965",14,35,265,0.333333333333333
"966",14,37,92,1
"967",14,38,140,0.142857142857143
"968",14,38,192,0.714285714285714
"969",14,38,226,0.142857142857143
"970",1,72,3,1
"971",1,82,3,1
"972",1,104,3,1
"973",1,170,3,0.354838709677419
"974",1,194,3,0.5
"975",1,242,3,0.0571428571428571
"976",1,51,8,0.333333333333333
"977",1,113,8,0.111111111111111
"978",1,170,8,0.032258064516129
"979",1,189,8,0.333333333333333
"980",1,216,8,0.6
"981",1,244,8,1
"982",1,258,8,0.6
"983",1,49,9,1
"984",1,65,9,1
"985",1,113,9,0.111111111111111
"986",1,119,9,1
"987",1,160,9,1
"988",1,170,9,0.580645161290323
"989",1,171,9,1
"990",1,187,9,1
"991",1,189,9,0.666666666666667
"992",1,216,9,0.1
"993",1,230,9,1
"994",1,232,9,1
"995",1,242,9,0.828571428571429
"996",1,258,9,0.375
"997",1,273,9,1
"998",1,286,9,1
"999",1,258,14,0.025
"1000",1,216,15,0.1
"1001",1,54,17,1
"1002",1,113,17,0.777777777777778
"1003",1,198,17,1
"1004",1,225,17,1
"1005",1,271,17,0.75
"1006",1,284,17,1
"1007",1,287,17,1
"1008",1,99,24,1
"1009",1,100,24,0.5
"1010",1,170,24,0.032258064516129
"1011",1,261,24,1
"1012",1,262,24,1
"1013",1,45,26,0.666666666666667
"1014",1,51,26,0.333333333333333
"1015",1,58,26,1
"1016",1,51,28,0.333333333333333
"1017",1,194,28,0.5
"1018",1,216,28,0.1
"1019",1,242,28,0.114285714285714
"1020",1,45,39,0.333333333333333
"1021",1,86,39,1
"1022",1,100,39,0.5
"1023",1,161,39,1
"1024",1,180,39,1
"1025",1,216,39,0.1
"1026",1,271,39,0.25
"1027",2,258,2,0.0357142857142857
"1028",2,61,3,1
"1029",2,113,3,0.5
"1030",2,170,3,0.111111111111111
"1031",2,194,3,0.909090909090909
"1032",2,221,3,0.333333333333333
"1033",2,222,3,1
"1034",2,230,3,1
"1035",2,231,3,1
"1036",2,262,3,1
"1037",2,82,8,1
"1038",2,117,8,1
"1039",2,170,8,0.333333333333333
"1040",2,216,8,0.909090909090909
"1041",2,244,8,0.928571428571429
"1042",2,258,8,0.75
"1043",2,49,9,1
"1044",2,86,9,0.5
"1045",2,101,9,1
"1046",2,113,9,0.5
"1047",2,147,9,1
"1048",2,160,9,0.166666666666667
"1049",2,164,9,0.111111111111111
"1050",2,170,9,0.555555555555556
"1051",2,187,9,1
"1052",2,188,9,1
"1053",2,189,9,1
"1054",2,212,9,1
"1055",2,216,9,0.0909090909090909
"1056",2,221,9,0.666666666666667
"1057",2,232,9,1
"1058",2,237,9,1
"1059",2,242,9,0.972222222222222
"1060",2,256,9,1
"1061",2,258,9,0.0357142857142857
"1062",2,267,9,1
"1063",2,273,9,1
"1064",2,284,9,0.75
"1065",2,45,12,0.428571428571429
"1066",2,281,12,1
"1067",2,45,15,0.142857142857143
"1068",2,72,15,0.5
"1069",2,116,15,0.0909090909090909
"1070",2,164,15,0.111111111111111
"1071",2,258,15,0.0357142857142857
"1072",2,54,17,1
"1073",2,63,17,1
"1074",2,72,17,0.5
"1075",2,160,17,0.833333333333333
"1076",2,164,17,0.666666666666667
"1077",2,194,17,0.0227272727272727
"1078",2,206,17,1
"1079",2,242,17,0.0277777777777778
"1080",2,250,17,1
"1081",2,259,17,1
"1082",2,284,17,0.25
"1083",2,285,17,1
"1084",2,45,26,0.428571428571429
"1085",2,57,26,1
"1086",2,116,26,0.909090909090909
"1087",2,164,26,0.111111111111111
"1088",2,194,26,0.0681818181818182
"1089",2,196,26,1
"1090",2,244,26,0.0714285714285714
"1091",2,258,26,0.107142857142857
"1092",2,86,28,0.5
"1093",2,172,28,1
"1094",2,258,39,0.0357142857142857
"1095",3,66,8,1
"1096",3,81,8,0.222222222222222
"1097",3,111,8,1
"1098",3,188,8,1
"1099",3,216,8,0.409090909090909
"1100",3,59,9,0.909090909090909
"1101",3,77,9,0.625
"1102",3,81,9,0.555555555555556
"1103",3,93,9,1
"1104",3,106,9,1
"1105",3,170,9,0.4
"1106",3,183,9,1
"1107",3,197,9,1
"1108",3,214,9,1
"1109",3,216,9,0.481818181818182
"1110",3,235,9,1
"1111",3,240,9,1
"1112",3,242,9,0.666666666666667
