"node_from","node_to","layer_from","co_occurrences","interactions","weight"
26,55,10,9,7,1
26,55,12,9,7,0
26,56,5,4,2,1
26,56,7,4,2,0
26,56,10,4,2,1
26,56,12,4,2,0
26,57,2,1,1,1
26,58,1,1,1,1
26,60,5,7,1,1
26,60,6,7,1,0
26,60,7,7,1,0
26,60,8,7,1,0
26,60,9,7,1,0
26,60,10,7,1,0
26,60,12,7,1,0
26,77,3,2,1,0
26,77,4,2,1,1
26,81,3,3,1,0
26,81,4,3,1,1
26,81,9,3,1,0
26,84,4,3,1,0
26,84,8,3,1,0
26,84,12,3,1,2
26,91,3,2,1,1
26,91,4,2,1,0
26,92,3,8,7,1
26,92,5,8,7,1
26,92,6,8,7,1
26,92,7,8,7,3
26,92,8,8,7,1
26,92,9,8,7,1
26,92,10,8,7,1
26,92,12,8,7,0
27,109,10,1,1,4
27,275,9,2,2,6
27,275,10,2,2,15
27,92,9,2,2,3
27,92,10,2,2,16
28,172,2,1,1,1
28,194,1,2,1,4
28,194,2,2,1,0
28,216,1,2,1,1
28,216,2,2,1,0
28,242,1,2,1,4
28,242,2,2,1,0
28,51,1,1,1,1
28,86,1,2,1,0
28,86,2,2,1,1
29,92,9,1,1,10
3,104,1,1,1,4
3,113,1,2,1,0
3,113,2,2,1,1
3,170,1,2,2,11
3,170,2,2,2,1
3,194,1,2,2,4
3,194,2,2,2,40
3,221,2,1,1,1
3,222,2,1,1,3
3,230,1,2,1,0
3,230,2,2,1,1
3,231,2,1,1,1
3,242,1,2,1,2
3,242,2,2,1,0
3,262,1,2,1,0
3,262,2,2,1,1
3,61,2,1,1,1
3,72,1,2,1,2
3,72,2,2,1,0
3,82,1,2,1,1
3,82,2,2,1,0
30,124,10,1,1,1
30,126,10,1,1,7
30,138,10,1,1,9
30,139,10,1,1,5
30,165,10,1,1,16
30,166,10,1,1,10
30,181,10,1,1,11
30,211,10,1,1,1
30,254,10,1,1,9
30,278,10,1,1,1
30,50,10,1,1,19
30,55,10,1,1,7
30,92,10,1,1,3
31,108,12,2,1,0
31,108,14,2,1,1
31,109,8,2,1,1
31,109,10,2,1,0
31,110,8,1,1,1
31,111,7,4,2,1
31,111,8,4,2,35
31,111,11,4,2,0
31,111,14,4,2,0
31,112,10,1,1,1
31,121,14,1,1,1
31,127,13,1,1,1
31,138,9,6,2,3
31,138,10,6,2,1
31,138,11,6,2,0
31,138,12,6,2,0
31,138,13,6,2,0
31,138,14,6,2,0
31,141,9,6,1,0
31,141,10,6,1,2
31,141,11,6,1,0
31,141,12,6,1,0
31,141,13,6,1,0
31,141,14,6,1,0
31,150,8,1,1,3
31,152,9,1,1,1
31,165,7,8,2,1
31,165,8,8,2,0
31,165,9,8,2,0
31,165,10,8,2,0
31,165,11,8,2,1
31,165,12,8,2,0
31,165,13,8,2,0
31,165,14,8,2,0
31,170,7,5,3,3
31,170,8,5,3,14
31,170,12,5,3,0
31,170,13,5,3,1
31,170,14,5,3,0
31,177,11,1,1,2
31,185,8,1,1,1
