"","layer_from","node_from","layer_to","node_to","weight"
"407",9,27,10,27,0.813608375970286
"408",9,31,10,31,0.813608375970286
"409",9,31,11,31,0.387159027743914
"410",9,31,12,31,0.387115066457781
"411",9,31,13,31,0.357655942505973
"412",9,31,14,31,0.35765023154864
"413",9,35,10,35,0.813608375970286
"414",9,35,11,35,0.387159027743914
"415",9,35,12,35,0.387115066457781
"416",9,35,13,35,0.357655942505973
"417",9,35,14,35,0.35765023154864
"418",9,38,10,38,0.813608375970286
"419",9,38,14,38,0.35765023154864
"420",10,1,11,1,0.387273757600205
"421",10,1,12,1,0.387229611381662
"422",10,4,12,4,0.387229611381662
"423",10,4,13,4,0.357697442404529
"424",10,4,14,4,0.357691722269035
"425",10,5,13,5,0.357697442404529
"426",10,5,14,5,0.357691722269035
"427",10,8,11,8,0.387273757600205
"428",10,8,12,8,0.387229611381662
"429",10,8,13,8,0.357697442404529
"430",10,8,14,8,0.357691722269035
"431",10,9,11,9,0.387273757600205
"432",10,9,12,9,0.387229611381662
"433",10,9,13,9,0.357697442404529
"434",10,9,14,9,0.357691722269035
"435",10,10,11,10,0.387273757600205
"436",10,10,12,10,0.387229611381662
"437",10,10,13,10,0.357697442404529
"438",10,10,14,10,0.357691722269035
"439",10,12,12,12,0.387229611381662
"440",10,16,11,16,0.387273757600205
"441",10,16,12,16,0.387229611381662
"442",10,17,11,17,0.387273757600205
"443",10,17,12,17,0.387229611381662
"444",10,26,12,26,0.387229611381662
"445",10,31,11,31,0.387273757600205
"446",10,31,12,31,0.387229611381662
"447",10,31,13,31,0.357697442404529
"448",10,31,14,31,0.357691722269035
"449",10,35,11,35,0.387273757600205
"450",10,35,12,35,0.387229611381662
"451",10,35,13,35,0.357697442404529
"452",10,35,14,35,0.357691722269035
"453",10,38,14,38,0.357691722269035
"454",11,1,12,1,0.988640779161425
"455",11,8,12,8,0.988640779161425
"456",11,8,13,8,0.37286460741731
"457",11,8,14,8,0.372847940938571
"458",11,9,12,9,0.988640779161425
"459",11,9,13,9,0.37286460741731
"460",11,9,14,9,0.372847940938571
"461",11,10,12,10,0.988640779161425
"462",11,10,13,10,0.37286460741731
"463",11,10,14,10,0.372847940938571
"464",11,16,12,16,0.988640779161425
"465",11,17,12,17,0.988640779161425
"466",11,31,12,31,0.988640779161425
"467",11,31,13,31,0.37286460741731
"468",11,31,14,31,0.372847940938571
"469",11,33,12,33,0.988640779161425
"470",11,33,14,33,0.372847940938571
"471",11,35,12,35,0.988640779161425
"472",11,35,13,35,0.37286460741731
"473",11,35,14,35,0.372847940938571
"474",12,4,13,4,0.372883598475569
"475",12,4,14,4,0.372866897472927
"476",12,8,13,8,0.372883598475569
"477",12,8,14,8,0.372866897472927
"478",12,9,13,9,0.372883598475569
"479",12,9,14,9,0.372866897472927
"480",12,10,13,10,0.372883598475569
"481",12,10,14,10,0.372866897472927
"482",12,31,13,31,0.372883598475569
"483",12,31,14,31,0.372866897472927
"484",12,33,14,33,0.372866897472927
"485",12,35,13,35,0.372883598475569
"486",12,35,14,35,0.372866897472927
"487",13,4,14,4,0.927970967898677
"488",13,5,14,5,0.927970967898677
"489",13,8,14,8,0.927970967898677
"490",13,9,14,9,0.927970967898677
"491",13,10,14,10,0.927970967898677
"492",13,31,14,31,0.927970967898677
"493",13,35,14,35,0.927970967898677
"494",1,72,2,72,0.676222840966804
"495",1,82,2,82,0.676222840966804
"496",1,104,9,104,0.327088337550814
"497",1,170,2,170,0.676222840966804
"498",1,170,3,170,0.333389610353953
"499",1,170,4,170,0.33339089806587
"500",1,170,5,170,0.33937515219088
"501",1,170,6,170,0.339364823067821
"502",1,170,7,170,0.330600704196276
"503",1,170,8,170,0.330598923596202
"504",1,170,12,170,0.32702583086686
"505",1,170,13,170,0.324139758853872
"506",1,170,14,170,0.324134610599056
"507",1,194,2,194,0.676222840966804
"508",1,242,2,242,0.676222840966804
"509",1,242,3,242,0.333389610353953
"510",1,242,4,242,0.33339089806587
"511",1,242,9,242,0.327088337550814
"512",1,242,10,242,0.327085698948839
"513",1,242,14,242,0.324134610599056
"514",1,113,2,113,0.676222840966804
"515",1,189,2,189,0.676222840966804
"516",1,216,2,216,0.676222840966804
"517",1,216,3,216,0.333389610353953
"518",1,216,4,216,0.33339089806587
"519",1,216,8,216,0.330598923596202
"520",1,216,11,216,0.327024429625113
"521",1,216,12,216,0.32702583086686
"522",1,244,2,244,0.676222840966804
"523",1,258,2,258,0.676222840966804
"524",1,49,2,49,0.676222840966804
"525",1,160,2,160,0.676222840966804
"526",1,187,2,187,0.676222840966804
"527",1,187,5,187,0.33937515219088
"528",1,187,6,187,0.339364823067821
"529",1,187,7,187,0.330600704196276
"530",1,187,8,187,0.330598923596202
"531",1,187,9,187,0.327088337550814
"532",1,187,10,187,0.327085698948839
"533",1,187,11,187,0.327024429625113
"534",1,187,12,187,0.32702583086686
"535",1,230,2,230,0.676222840966804
"536",1,232,2,232,0.676222840966804
"537",1,273,2,273,0.676222840966804
"538",1,54,2,54,0.676222840966804
"539",1,225,3,225,0.333389610353953
"540",1,225,4,225,0.33339089806587
"541",1,284,2,284,0.676222840966804
"542",1,284,3,284,0.333389610353953
"543",1,284,4,284,0.33339089806587
"544",1,284,6,284,0.339364823067821
"545",1,284,7,284,0.330600704196276
"546",1,284,8,284,0.330598923596202
"547",1,284,10,284,0.327085698948839
"548",1,284,12,284,0.32702583086686
"549",1,99,4,99,0.33339089806587
"550",1,262,2,262,0.676222840966804
"551",1,45,2,45,0.676222840966804
"552",1,86,2,86,0.676222840966804
"553",2,170,3,170,0.333350313559111
"554",2,170,4,170,0.333351603182563
"555",2,170,5,170,0.339350874197237
"556",2,170,6,170,0.339340550172944
"557",2,170,7,170,0.330592681449958
"558",2,170,8,170,0.330590891116452
"559",2,170,12,170,0.327026024146347
"560",2,170,13,170,0.324144425023749
"561",2,170,14,170,0.324139274089018
