"","from","to","weight"
"385","7 _ 9","7 _ 92",37
"386","7 _ 9","7 _ 98",1
"387","7 _ 9","7 _ 130",1
"388","7 _ 9","7 _ 165",1
"389","7 _ 9","7 _ 266",10
"390","7 _ 9","7 _ 274",1
"391","7 _ 10","7 _ 50",1
"392","7 _ 10","7 _ 60",1
"393","7 _ 10","7 _ 92",22
"394","7 _ 10","7 _ 136",2
"395","7 _ 10","7 _ 173",1
"396","7 _ 10","7 _ 176",1
"397","7 _ 10","7 _ 213",1
"398","7 _ 10","7 _ 253",1
"399","7 _ 10","7 _ 274",1
"400","7 _ 13","7 _ 92",11
"401","7 _ 13","7 _ 217",2
"402","7 _ 13","7 _ 266",8
"403","7 _ 14","7 _ 266",1
"404","7 _ 14","7 _ 274",1
"405","7 _ 14","7 _ 275",4
"406","7 _ 17","7 _ 73",1
"407","7 _ 17","7 _ 92",1
"408","7 _ 17","7 _ 98",1
"409","7 _ 17","7 _ 143",1
"410","7 _ 17","7 _ 145",2
"411","7 _ 17","7 _ 165",1
"412","7 _ 17","7 _ 266",4
"413","7 _ 17","7 _ 284",3
"414","7 _ 20","7 _ 44",8
"415","7 _ 20","7 _ 56",2
"416","7 _ 20","7 _ 60",1
"417","7 _ 20","7 _ 92",1
"418","7 _ 20","7 _ 165",1
"419","7 _ 20","7 _ 249",1
"420","7 _ 20","7 _ 252",1
"421","7 _ 20","7 _ 266",1
"422","7 _ 23","7 _ 92",2
"423","7 _ 26","7 _ 55",1
"424","7 _ 26","7 _ 92",3
"425","7 _ 26","7 _ 266",1
"426","7 _ 31","7 _ 62",2
"427","7 _ 31","7 _ 92",59
"428","7 _ 31","7 _ 111",1
"429","7 _ 31","7 _ 165",1
"430","7 _ 31","7 _ 170",3
"431","7 _ 31","7 _ 187",1
"432","7 _ 31","7 _ 212",2
"433","7 _ 31","7 _ 235",3
"434","7 _ 31","7 _ 238",9
"435","7 _ 31","7 _ 253",1
"436","7 _ 34","7 _ 60",1
"437","7 _ 34","7 _ 92",4
"438","7 _ 34","7 _ 266",1
"439","7 _ 37","7 _ 165",1
"440","7 _ 37","7 _ 266",1
"441","7 _ 37","7 _ 274",3
"442","7 _ 38","7 _ 92",3
"443","7 _ 38","7 _ 165",1
"444","7 _ 38","7 _ 192",11
"445","7 _ 38","7 _ 217",2
"446","7 _ 38","7 _ 226",1
"447","7 _ 38","7 _ 266",3
"448","8 _ 1","8 _ 50",1
"449","8 _ 1","8 _ 73",2
"450","8 _ 1","8 _ 135",1
"451","8 _ 1","8 _ 157",1
"452","8 _ 1","8 _ 163",1
"453","8 _ 1","8 _ 192",3
"454","8 _ 1","8 _ 199",1
"455","8 _ 1","8 _ 204",2
"456","8 _ 1","8 _ 217",3
"457","8 _ 1","8 _ 227",4
"458","8 _ 1","8 _ 254",1
"459","8 _ 1","8 _ 266",1
"460","8 _ 1","8 _ 274",28
"461","8 _ 1","8 _ 275",45
"462","8 _ 1","8 _ 276",2
"463","8 _ 1","8 _ 280",1
"464","8 _ 8","8 _ 60",1
"465","8 _ 8","8 _ 92",18
"466","8 _ 8","8 _ 111",2
"467","8 _ 8","8 _ 274",1
"468","8 _ 9","8 _ 40",2
"469","8 _ 9","8 _ 50",15
"470","8 _ 9","8 _ 79",1
"471","8 _ 9","8 _ 92",11
"472","8 _ 9","8 _ 167",1
"473","8 _ 9","8 _ 200",2
"474","8 _ 9","8 _ 217",2
"475","8 _ 9","8 _ 247",1
"476","8 _ 9","8 _ 274",13
"477","8 _ 10","8 _ 50",2
"478","8 _ 10","8 _ 60",4
"479","8 _ 10","8 _ 64",1
"480","8 _ 10","8 _ 84",1
"481","8 _ 10","8 _ 92",4
"482","8 _ 10","8 _ 101",1
"483","8 _ 10","8 _ 136",1
"484","8 _ 10","8 _ 137",1
"485","8 _ 10","8 _ 170",2
"486","8 _ 10","8 _ 186",1
"487","8 _ 10","8 _ 187",1
"488","8 _ 10","8 _ 213",2
"489","8 _ 10","8 _ 217",3
"490","8 _ 10","8 _ 220",1
"491","8 _ 10","8 _ 243",1
"492","8 _ 10","8 _ 253",2
"493","8 _ 12","8 _ 275",3
"494","8 _ 13","8 _ 46",1
"495","8 _ 13","8 _ 92",3
"496","8 _ 13","8 _ 185",1
"497","8 _ 13","8 _ 266",6
"498","8 _ 14","8 _ 60",1
"499","8 _ 14","8 _ 92",1
"500","8 _ 14","8 _ 217",3
"501","8 _ 14","8 _ 274",2
"502","8 _ 14","8 _ 275",4
"503","8 _ 17","8 _ 50",1
"504","8 _ 17","8 _ 92",1
"505","8 _ 17","8 _ 130",1
"506","8 _ 17","8 _ 136",1
"507","8 _ 17","8 _ 140",1
"508","8 _ 17","8 _ 165",3
"509","8 _ 17","8 _ 192",1
"510","8 _ 17","8 _ 217",7
"511","8 _ 17","8 _ 275",5
"512","8 _ 17","8 _ 279",3
"513","8 _ 17","8 _ 284",3
"514","8 _ 23","8 _ 55",1
"515","8 _ 23","8 _ 182",1
"516","8 _ 23","8 _ 195",1
"517","8 _ 23","8 _ 266",1
"518","8 _ 26","8 _ 92",1
"519","8 _ 31","8 _ 92",12
"520","8 _ 31","8 _ 109",1
"521","8 _ 31","8 _ 110",1
"522","8 _ 31","8 _ 111",35
"523","8 _ 31","8 _ 150",3
"524","8 _ 31","8 _ 170",14
"525","8 _ 31","8 _ 185",1
"526","8 _ 31","8 _ 187",3
"527","8 _ 31","8 _ 217",1
"528","8 _ 31","8 _ 235",4
"529","8 _ 31","8 _ 238",2
"530","8 _ 31","8 _ 241",1
"531","8 _ 31","8 _ 243",5
"532","8 _ 37","8 _ 154",1
"533","8 _ 37","8 _ 187",1
"534","8 _ 37","8 _ 274",1
"535","8 _ 38","8 _ 60",1
"536","8 _ 38","8 _ 73",1
"537","8 _ 38","8 _ 92",2
"538","8 _ 38","8 _ 140",1
"539","8 _ 38","8 _ 192",19
"540","8 _ 38","8 _ 216",2
"541","8 _ 38","8 _ 266",1
"542","8 _ 38","8 _ 274",1
"543","8 _ 38","8 _ 275",8
"544","9 _ 1","9 _ 81",1
"545","9 _ 1","9 _ 92",7
"546","9 _ 1","9 _ 126",5
"547","9 _ 1","9 _ 132",1
"548","9 _ 1","9 _ 135",1
"549","9 _ 1","9 _ 165",11
"550","9 _ 1","9 _ 166",1
"551","9 _ 1","9 _ 181",4
"552","9 _ 1","9 _ 224",2
"553","9 _ 1","9 _ 227",2
"554","9 _ 1","9 _ 254",1
"555","9 _ 1","9 _ 274",9
"556","9 _ 1","9 _ 275",13
"557","9 _ 1","9 _ 278",11
"558","9 _ 5","9 _ 92",13
"559","9 _ 5","9 _ 181",9
"560","9 _ 5","9 _ 211",8
"561","9 _ 5","9 _ 217",1
"562","9 _ 8","9 _ 92",29
"563","9 _ 8","9 _ 141",2
"564","9 _ 8","9 _ 217",2
"565","9 _ 8","9 _ 260",1
"566","9 _ 8","9 _ 266",1
"567","9 _ 9","9 _ 50",21
"568","9 _ 9","9 _ 78",1
"569","9 _ 9","9 _ 87",1
"570","9 _ 9","9 _ 92",20
"571","9 _ 9","9 _ 104",1
"572","9 _ 9","9 _ 120",1
"573","9 _ 9","9 _ 126",2
"574","9 _ 9","9 _ 138",1
"575","9 _ 9","9 _ 141",8
"576","9 _ 9","9 _ 165",2
"577","9 _ 9","9 _ 217",2
"578","9 _ 9","9 _ 242",1
"579","9 _ 9","9 _ 270",1
"580","9 _ 9","9 _ 274",26
"581","9 _ 9","9 _ 278",17
"582","9 _ 10","9 _ 92",11
"583","9 _ 10","9 _ 126",1
"584","9 _ 12","9 _ 50",22
"585","9 _ 12","9 _ 55",1
"586","9 _ 12","9 _ 92",1
"587","9 _ 12","9 _ 163",2
"588","9 _ 12","9 _ 165",1
"589","9 _ 12","9 _ 275",40
"590","9 _ 17","9 _ 126",1
"591","9 _ 26","9 _ 43",1
"592","9 _ 26","9 _ 50",1
"593","9 _ 26","9 _ 55",10
"594","9 _ 26","9 _ 92",1
"595","9 _ 26","9 _ 165",3
"596","9 _ 27","9 _ 92",3
"597","9 _ 27","9 _ 275",6
"598","9 _ 29","9 _ 92",10
"599","9 _ 31","9 _ 50",1
