"layer_from","node_from","layer_to","node_to","weight"
"Fuerteventura2","Launaea.arborescens","GranCanaria1","Launaea.arborescens",0.346305628161504
"Fuerteventura2","Launaea.arborescens","GranCanaria2","Launaea.arborescens",0.3463091816886
"Fuerteventura2","Launaea.arborescens","TenerifeSouth1","Launaea.arborescens",0.335265051104835
"Fuerteventura2","Launaea.arborescens","TenerifeSouth2","Launaea.arborescens",0.335271277917577
"Fuerteventura2","Launaea.arborescens","TenerifeTeno1","Launaea.arborescens",0.330783075954346
"Fuerteventura2","Launaea.arborescens","TenerifeTeno2","Launaea.arborescens",0.330771015509484
"Fuerteventura2","Launaea.arborescens","Gomera1","Launaea.arborescens",0.327899949588047
"Fuerteventura2","Launaea.arborescens","Gomera2","Launaea.arborescens",0.327897618057734
"Fuerteventura2","Lycium.intricatum","GranCanaria1","Lycium.intricatum",0.346305628161504
"Fuerteventura2","Lycium.intricatum","GranCanaria2","Lycium.intricatum",0.3463091816886
"Fuerteventura2","Lycium.intricatum","TenerifeSouth1","Lycium.intricatum",0.335265051104835
"Fuerteventura2","Lycium.intricatum","TenerifeSouth2","Lycium.intricatum",0.335271277917577
"Fuerteventura2","Lycium.intricatum","TenerifeTeno1","Lycium.intricatum",0.330783075954346
"Fuerteventura2","Lycium.intricatum","TenerifeTeno2","Lycium.intricatum",0.330771015509484
"Fuerteventura2","Lycium.intricatum","Gomera2","Lycium.intricatum",0.327897618057734
"GranCanaria1","Euphorbia.balsamifera..f.","GranCanaria2","Euphorbia.balsamifera..f.",0.922482100825481
"GranCanaria1","Euphorbia.balsamifera..f.","TenerifeSouth1","Euphorbia.balsamifera..f.",0.360897619439111
"GranCanaria1","Euphorbia.balsamifera..f.","TenerifeSouth2","Euphorbia.balsamifera..f.",0.360904209223731
"GranCanaria1","Euphorbia.balsamifera..f.","TenerifeTeno1","Euphorbia.balsamifera..f.",0.348927653954953
"GranCanaria1","Euphorbia.balsamifera..f.","TenerifeTeno2","Euphorbia.balsamifera..f.",0.348909227190577
"GranCanaria1","Euphorbia.balsamifera..f.","Gomera1","Euphorbia.balsamifera..f.",0.344878931455226
"GranCanaria1","Euphorbia.balsamifera..f.","Gomera2","Euphorbia.balsamifera..f.",0.344876486745018
"GranCanaria1","Euphorbia.balsamifera..f.","Hierro1","Euphorbia.balsamifera..f.",0.336214646562401
"GranCanaria1","Euphorbia.balsamifera..f.","Hierro2","Euphorbia.balsamifera..f.",0.336208223748696
"GranCanaria1","Euphorbia.balsamifera..m.","GranCanaria2","Euphorbia.balsamifera..m.",0.922482100825481
"GranCanaria1","Euphorbia.balsamifera..m.","TenerifeSouth1","Euphorbia.balsamifera..m.",0.360897619439111
"GranCanaria1","Euphorbia.balsamifera..m.","TenerifeSouth2","Euphorbia.balsamifera..m.",0.360904209223731
"GranCanaria1","Euphorbia.balsamifera..m.","TenerifeTeno1","Euphorbia.balsamifera..m.",0.348927653954953
"GranCanaria1","Euphorbia.balsamifera..m.","TenerifeTeno2","Euphorbia.balsamifera..m.",0.348909227190577
"GranCanaria1","Euphorbia.balsamifera..m.","Gomera1","Euphorbia.balsamifera..m.",0.344878931455226
"GranCanaria1","Euphorbia.balsamifera..m.","Gomera2","Euphorbia.balsamifera..m.",0.344876486745018
"GranCanaria1","Euphorbia.balsamifera..m.","Hierro1","Euphorbia.balsamifera..m.",0.336214646562401
"GranCanaria1","Euphorbia.balsamifera..m.","Hierro2","Euphorbia.balsamifera..m.",0.336208223748696
